Date,IBM,WMT,VZ,TRV,MMM,PFE,INTC,HD,AXP,CAT,IBM
9/30/2014,0.383013699,0.588839941,0.5677462,0.389725821,0.361022576,0.432958725,0.617412141,0.290560748,0.814442209,0.51188846,0.383013699
8/29/2014,0.365479452,0.560352423,0.556510245,0.401325701,0.376427623,0.419771718,0.621405751,0.307009346,0.859378493,0.636872899,0.365479452
7/31/2014,0.349589041,0.503964758,0.596166557,0.323742091,0.355776892,0.369221527,0.580271565,0.188785047,0.824726135,0.533300137,0.349589041
6/30/2014,0.33260274,0.547723935,0.497686715,0.391684242,0.371381142,0.441017451,0.46086262,0.189813084,0.97831433,0.63189344,0.33260274
5/30/2014,0.315616438,0.597650514,0.565763384,0.38234408,0.366799469,0.437354393,0.317891374,0.182990654,0.902973396,0.551724138,0.315616438
4/30/2014,0.299178082,0.683994126,0.352280238,0.339108165,0.343824701,0.558235285,0.292731629,0.176261682,0.811983009,0.591186356,0.299178082
3/31/2014,0.282739726,0.587665198,0.407799075,0.256553179,0.321049137,0.619774649,0.257747604,0.17271028,0.870109546,0.516121001,0.282739726
2/28/2014,0.265753425,0.536857562,0.408460013,0.237571558,0.314873838,0.619042037,0.215654952,0.199813084,0.898054997,0.486244242,0.265753425
1/31/2014,0.250410959,0.536270191,0.437541309,0.199005725,0.271447543,0.493765476,0.20686901,0.151401869,0.758104181,0.448151376,0.250410959
12/31/2013,0.233424658,0.654038179,0.511566424,0.338505574,0.351527224,0.51061554,0.263378594,0.20271028,0.885758998,0.409560563,0.233424658
11/29/2013,0.215890411,0.722173275,0.543291474,0.34151853,0.306772908,0.591202802,0.178913738,0.187102804,0.775542142,0.33225445,0.215890411
10/31/2013,0.2,0.597063142,0.602115003,0.274630913,0.255909695,0.514644903,0.204073482,0.161121495,0.6861167,0.316818125,0.2
9/30/2013,0.183013699,0.515124816,0.348645076,0.251581802,0.21314741,0.371053056,0.14221246,0.142056075,0.545718757,0.317316071,0.183013699
8/30/2013,0.166027397,0.486343612,0.395241243,0.17821633,0.174435591,0.333323565,0.104632588,0.129345794,0.465012296,0.306610233,0.166027397
7/31/2013,0.149589041,0.632011747,0.534038334,0.233202772,0.2,0.408049935,0.158746006,0.171775701,0.506595126,0.311216233,0.149589041
6/28/2013,0.131506849,0.530690162,0.590879048,0.178517626,0.146347942,0.318671336,0.194488818,0.157196262,0.528727923,0.3059878,0.131506849
5/31/2013,0.116164384,0.540969163,0.467944481,0.235763784,0.152456839,0.261527641,0.196485623,0.168317757,0.549966465,0.34719283,0.116164384
4/30/2013,0.099178082,0.625550661,0.826834104,0.26122326,0.115537849,0.396328151,0.183306709,0.118691589,0.386765035,0.333125856,0.099178082
3/28/2013,0.08109589,0.540675477,0.512227363,0.24284423,0.126162019,0.380943311,0.098841853,0.085327103,0.365526492,0.361757749,0.08109589
2/28/2013,0.065753425,0.421732746,0.339061467,0.186050015,0.110823373,0.271784202,0.060702875,0.073364486,0.246814219,0.428980456,0.065753425
1/31/2013,0.050410959,0.397356828,0.146067416,0.156523049,0.087915007,0.265190699,0.067092652,0.058598131,0.172143975,0.503921325,0.050410959
12/31/2012,0.033424658,0.346842878,0.123595506,0.05649292,0.036786189,0.103964893,0.050319489,0.011214953,0.142410016,0.394603511,0.033424658
11/30/2012,0.016438356,0.45814978,0.179775281,0.041428141,0.024169987,0.099620507,0.008186901,0.041308411,0.107086966,0.340221586,0.016438356
10/31/2012,0,0.546255507,0.214144085,0.043235914,0.001925631,0.088631335,0.090654952,0.00682243,0.108651911,0.334868667,0
